,,,,,,,,,,,
,ID,,タイトル,Z,X,S,TOOL,RPM,SPD,ANG,Z
,233,,"仕上テーパ：準備(Z223.5, X35.0)",-4.5,35,,none,,,,-4.5
,234,,仕上テーパ：中ハンドル0.4mm入れる(X34.2),-4.5,34.2,,none,,,,-4.5
,235,,仕上テーパ：1パス目削り,-29.5,39.2,,finish,,,,-29.5
,236,,仕上テーパ：戻し(X60.0),-29.5,60,,none,,,,-29.5
,237,,仕上テーパ：開始点位置決め,-4.5,60,,none,,,,-4.5
,238,,仕上テーパ：最終切込0.6mm(X33.0),-4.5,33,,none,,,,-4.5
,239,,仕上テーパ：最終斜め削り,-29.5,38,,finish,,,,-29.5
,240,,仕上テーパ：完了 基準点へ(Z235.0),7,60,,none,,,,7
,241,,"面取り2：Φ35エッジ開始点(Z223.5, X34.6)",-4.5,34.6,,none,,,,-4.5
,242,,面取り2：Φ35エッジ面取り(C0.2),-4.3,35,,chamfer,,,,-4.3
,243,,面取り2：逃げ(X60.0),-4.3,60,,none,,,,-4.3
,244,,"面取り2：Φ40エッジ開始点(Z193.5, X39.6)",-34.5,39.6,,none,,,,-34.5
,245,,面取り2：Φ40エッジ面取り(C0.2),-34.3,40,,chamfer,,,,-34.3
,246,,面取り2：逃げ(X60.0),-34.3,60,,none,,,,-34.3
,247,,全工程完了：原点復帰(Z250.0),22,60,,none,,,,22

,248,,全工程完了：終了位置(X180.0),22,180,,none,,,,22
