,,,,,,,,,,,
,ID,,タイトル,Z,X,S,TOOL,RPM,SPD,ANG,Z
,66,ケガキ25mm,中ハンドルで刃先軽く当てる,-24.9,30.5,,外径荒,570,1,,-24.9
,67,ケガキ25mm,中ハンドルで外に戻す,-24.9,60,,外径荒,570,1,,-24.9
,68,ケガキ25mm,大ハンドルで基準点より右に戻す,10,60,,外径荒,570,1,,10
,69,荒1回目,,10,60,,外径荒,570,1,,10
,70,Φ30.5→25.5,刃先を長手面に近づける,-1,60,,外径荒,570,1,,-1
,71,Φ30.5→25.5,刃先を長手面に軽く当てる,-1,30.5,,外径荒,570,1,,-1
,72,Φ30.5→25.5,大ハンドルで基準点より右に戻す,10,30.5,,外径荒,570,1,,10
,73,Φ30.5→25.5,中ハンドルのゼロセット,10,30.5,,外径荒,570,1,,10
,74,Φ30.5→25.5,中ハンドルで切込量5mmセット,10,25.5,,外径荒,570,1,,10
,75,Φ30.5→25.5,自動送りで24mm付近で止める,-24,25.5,,外径荒,570,1,,-24
,76,Φ30.5→25.5,大ハンドルで24.9mmまで追い込む,-24.9,25.5,,外径荒,570,1,,-24.9
,77,Φ30.5→25.5,大ハンドルで基準点より右に戻す,10,25.5,,外径荒,570,1,,10
,78,測定,【ノギス測定】Φ22.5目標,10,25.5,,外径荒,570,1,,10
,79,荒2回目,現在Φ25.5-目標値Φ22.5=切込量3.0の計算をする,10,25.5,,外径荒,570,1,,10
,80,Φ25.5→22.5,中ハンドルで切込量5.0mm追加,10,22.5,,外径荒,570,1,,10
,81,Φ25.5→22.5,自動送りで24mm付近で止める,-24,22.5,,外径荒,570,1,,-24
,82,Φ25.5→22.5,大ハンドルで24.9mmまで追い込む,-24.9,22.5,,外径荒,570,1,,-24.9
,83,Φ25.5→22.5,中ハンドルで外に戻す、端面段差さらう,-24.9,60,,外径荒,570,1,,-24.9
,84,スタート,バイト・回転数・送り速度を入れて刃物台を回転させても大丈夫な位置,30,60,,突切り,360,1,,60
,85,溝荒1回目,端面Φ30.5に溝バイトを近づける,-22,60,,突切り,360,1,,-24
,86,Φ22.5→20.5,長手面Φ22.5に溝バイトを近づける,-22,23,,突切り,360,1,,-24
,87,Φ22.5→20.5,刃先を端面に軽く当てる,-22.9,23,,突切り,360,1,-20.9,-24.9
,88,Φ22.5→20.5,刃先を長手面に軽く当てる,-22.9,22.5,,突切り,360,1,-20.9,-24.9
,89,Φ22.5→20.5,中ハンドルのゼロセット,-22.9,22.5,,突切り,360,1,-20.9,-24.9
,90,Φ22.5→20.5,中ハンドルで切込量2.0mm削る,-22.9,22.5,,突切り,360,1,-20.9,-24.9
,91,Φ22.5→20.5,中ハンドルで外に戻す,-22.9,60,,突切り,360,1,-20.9,-24.9
,92,測定,【ノギス測定】Φ18.0目標,-22.9,60,,突切り,360,1,-20.9,-24.9
,93,溝荒2回目,現在Φ20.5-目標値Φ18.0=切込量2.5の計算をする,-22.9,60,,突切り,360,1,-20.9,-24.9
,94,Φ20.5→18.0,中ハンドルで残り2.5mm削る,-22.9,18,,突切り,360,1,-20.9,-24.9
,95,Φ20.5→18.0,中ハンドルのゼロセット,-22.9,18,,突切り,360,1,-20.9,-24.9
,96,Φ20.5→18.0,中ハンドルで外に戻す,-22.9,60,,突切り,360,1,-20.9,-24.9
,97,測定,【定尺測定】長手面5mm幅目標,-22.9,60,,突切り,360,1,-20.9,-24.9
,98,溝荒3回目,目標値5mm-現在4mm-=1㎜右へ移動させる計算,-21.9,60,,突切り,360,1,-19.9,-23.9
,99,Φ22.5→20.5,大ハンドルを右へ移動,-21.9,60,,突切り,360,1,-19.9,-23.9
,100,Φ22.5→20.5,中ハンドルでゼロセットに合うまで削る,-21.9,18,,突切り,360,1,-19.9,-23.9
,101,Φ22.5→20.5,中ハンドルで外に戻す,-21.9,60,,突切り,360,1,-19.9,-23.9
,102,スタート,バイト・回転数・送り速度を入れて刃物台を回転させても大丈夫な位置,30,60,,外径仕上げ,1800,1,,60
,103,仕上1回目,刃先を長手面に近づける,-1,60,,外径仕上げ,1800,1,,-1
,104,Φ22.5→22.25,刃先を長手面に軽く当てる,-1,22.5,,外径仕上げ,1800,1,,-1
,105,Φ22.5→22.25,大ハンドルで基準点より右に戻す,10,22.5,,外径仕上げ,1800,1,,10
